item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series4_child_bed_02_01	374985								
item_tcg_loot_reward_series4_medical_table_02_01	374986								
item_tcg_loot_reward_series4_chewbacca_statuette_02_01	374987								
item_tcg_loot_reward_series4_han_solo_statuette_02_01	374988								
item_tcg_loot_reward_series4_stuffed_tauntaun_02_01	374989								
item_tcg_loot_reward_series4_stuffed_wampa_02_01	374990								
item_tcg_loot_reward_series4_leia_and_r2_diorama_02_01	374991								
item_tcg_loot_reward_series4_tatooine_travel_advertisement_02_01	374992								
item_tcg_loot_reward_series4_kashyyyk_travel_advertisement_02_01	374993								
item_tcg_loot_reward_series4_droid_oil_bath_02_01	374994								
item_tcg_loot_reward_series4_generic_rug_02_01	374995								
item_tcg_loot_reward_series4_senate_pod_02_01	374997								
item_tcg_loot_reward_series4_tauntaun_ride_02_01	374998								
item_tcg_loot_reward_series4_video_game_table_02_01	374999								
item_tcg_loot_reward_series4_balta_podracer_02_01	375000								
item_tcg_loot_reward_series4_peko_peko_mount_02_01	375001								
item_tcg_loot_reward_series4_falleens_fist_02_01	375002								
item_tcg_loot_reward_series4_ball_of_peace_02_01	375003								
item_tcg_loot_reward_series4_t16_toy_02_01	375004								
item_tcg_loot_reward_series4_creature_pet_deed_nuna_02_01	375006								
item_tcg_loot_reward_series4_guise_of_vapaad_02_01	375007								
item_tcg_loot_reward_series4_chandrilan_dress_02_01	375008								
item_tcg_loot_reward_series4_location_itv_02_01	375009								
item_tcg_loot_reward_series4_home_itv_02_01	375010								
item_tcg_loot_reward_series4_vendor_kitonak_02_01	375011								
item_tcg_loot_reward_series4_vendor_toydarian_02_01	375012								
item_tcg_loot_reward_series4_greeter_palowick	375013								
item_tcg_loot_reward_series4_greeter_nightsister	375014								
item_dianoga_dumpster	375015								
