item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series1_sith_speeder	374975								
item_tcg_loot_reward_series2_barn	374976								
item_tcg_loot_reward_series2_diner	374977								
item_tcg_loot_reward_series3_sith_meditation_room_deed	374978								
item_tcg_loot_reward_series3_swamp_speeder	374979								
item_tcg_loot_reward_series4_geonosian_speeder_02_01	374980								
item_tcg_loot_reward_series4_peko_peko_mount_02_01	374981								
item_tcg_loot_reward_series4_relaxation_pool_deed_02_01	374982								
item_tcg_loot_reward_series4_senate_pod_02_01	374983								
item_tcg_loot_reward_series5_air2_swoop_speeder	374984								
item_tcg_loot_reward_series5_player_house_atat	374985								
item_tcg_loot_reward_series5_player_house_hangar	374986								
item_tcg_loot_reward_series5_xj6_air_speeder	374987								
item_tcg_loot_reward_series6_deed_emperor_spire	374988								
item_tcg_loot_reward_series6_deed_rebel_spire	374989								
item_tcg_loot_reward_series6_ric_920_speeder	374990								
item_tcg_loot_reward_series7_atpt_walker	374991								
item_tcg_loot_reward_series7_buildreward_republic_gunship	374992								
item_tcg_loot_reward_series7_deed_commando_bunker	374993								
item_tcg_loot_reward_series7_deed_vehicle_garage	374994								
item_tcg_loot_reward_series7_deed_vip_bunker	374995								
item_tcg_loot_reward_series8_bespin_house_deed	374996								
item_tcg_loot_reward_series8_yoda_house_deed	374997								
item_tcg_merr_sonn_jt12_jetpack_deed	374998								
item_tcg_loot_reward_series5_fg_8t8_podracer	374999								
item_tcg_loot_reward_series5_player_house_hangar	375000								
item_tcg_loot_reward_series6_a1_deluxe_floater	375001								
